"loan_amount","borrower_income","borrower_race","bank_action"
257000,84000,"W","approved"
168000,74000,"A","approved"
238000,123000,"W","approved"
338000,125000,"B","denied"
260000,95000,"W","approved"
293000,65000,"W","approved"
223000,122000,"W","approved"
250000,130000,"W","approved"
55000,93000,"B","approved"
211000,126000,"W","approved"
225000,61000,"O","denied"
245000,58000,"W","approved"
265000,85000,"W","approved"
325000,78000,"W","approved"
334000,81000,"W","approved"
196000,137000,"W","approved"
1e+05,22000,"W","approved"
228000,58000,"W","approved"
90000,32000,"W","approved"
147000,54000,"W","approved"
161000,36000,"B","approved"
216000,68000,"W","approved"
140000,41000,"W","approved"
124000,188000,"W","approved"
124000,341000,"W","approved"
177000,74000,"A","approved"
270000,59000,"W","approved"
270000,155000,"W","approved"
207000,190000,"W","denied"
136000,108000,"W","denied"
202000,79000,"W","approved"
207000,56000,"W","approved"
158000,40000,"B","approved"
171000,79000,"W","approved"
125000,75000,"W","approved"
215000,96000,"W","approved"
162000,68000,"W","denied"
29000,9000,"W","approved"
302000,154000,"W","approved"
178000,86000,"W","approved"
230000,102000,"W","approved"
128000,38000,"W","approved"
444000,145000,"W","approved"
132000,54000,"W","approved"
192000,83000,"W","approved"
186000,1e+05,"W","approved"
145000,150000,"B","approved"
162000,35000,"W","approved"
126000,36000,"W","approved"
403000,121000,"B","approved"
150000,52000,"W","denied"
285000,52000,"W","approved"
306000,119000,"W","denied"
254000,94000,"W","approved"
95000,63000,"W","approved"
352000,178000,"W","approved"
180000,1e+05,"W","approved"
279000,107000,"O","approved"
180000,114000,"W","approved"
60000,112000,"W","approved"
170000,49000,"B","denied"
254000,64000,"O","approved"
152000,104000,"B","approved"
334000,123000,"B","approved"
143000,62000,"W","approved"
180000,59000,"W","approved"
203000,46000,"A","denied"
145000,87000,"A","approved"
275000,61000,"B","approved"
90000,53000,"B","approved"
235000,96000,"W","approved"
120000,134000,"W","approved"
89000,35000,"W","approved"
150000,35000,"W","approved"
248000,81000,"W","approved"
232000,66000,"W","approved"
295000,126000,"W","approved"
203000,62000,"W","approved"
112000,79000,"W","approved"
284000,79000,"W","approved"
115000,44000,"W","denied"
204000,78000,"W","approved"
195000,125000,"W","approved"
117000,47000,"O","approved"
124000,67000,"W","approved"
176000,52000,"W","approved"
234000,94000,"W","approved"
132000,54000,"W","approved"
378000,196000,"A","approved"
214000,60000,"W","approved"
75000,38000,"W","approved"
250000,131000,"W","approved"
315000,195000,"W","approved"
178000,53000,"W","approved"
181000,51000,"B","denied"
139000,73000,"B","denied"
239000,61000,"W","approved"
161000,73000,"A","approved"
227000,50000,"W","approved"
176000,27000,"W","approved"
149000,63000,"W","approved"
173000,104000,"W","approved"
4e+05,92000,"W","approved"
325000,151000,"W","approved"
207000,93000,"W","approved"
147000,65000,"W","approved"
132000,62000,"A","approved"
212000,81000,"W","approved"
82000,240000,"W","approved"
67000,11000,"W","approved"
2e+05,69000,"W","approved"
160000,180000,"W","approved"
160000,12000,"W","approved"
150000,26000,"W","approved"
160000,31000,"A","approved"
192000,54000,"W","approved"
160000,25000,"W","approved"
2e+05,32000,"W","denied"
160000,33000,"W","approved"
150000,25000,"W","approved"
160000,8000,"W","approved"
160000,27000,"B","denied"
145000,66000,"W","approved"
146000,29000,"W","approved"
175000,36000,"W","denied"
160000,71000,"W","approved"
259000,64000,"B","approved"
302000,86000,"W","approved"
342000,63000,"W","denied"
218000,299000,"W","approved"
213000,95000,"W","approved"
191000,53000,"B","approved"
365000,252000,"A","approved"
156000,31000,"W","denied"
165000,117000,"W","approved"
350000,75000,"W","approved"
340000,118000,"W","approved"
102000,25000,"B","approved"
308000,130000,"W","approved"
307000,94000,"W","denied"
428000,133000,"W","approved"
113000,40000,"W","denied"
444000,191000,"W","approved"
137000,40000,"W","approved"
312000,150000,"W","approved"
144000,35000,"W","denied"
141000,83000,"B","approved"
73000,24000,"W","approved"
216000,116000,"W","approved"
278000,132000,"B","approved"
338000,187000,"B","approved"
287000,116000,"W","approved"
279000,65000,"W","approved"
125000,42000,"W","approved"
269000,113000,"B","approved"
254000,101000,"A","approved"
85000,67000,"W","approved"
257000,214000,"W","approved"
210000,106000,"W","approved"
236000,72000,"W","approved"
1e+05,28000,"A","approved"
270000,106000,"W","approved"
399000,135000,"W","approved"
365000,71000,"W","approved"
296000,132000,"W","approved"
180000,55000,"W","approved"
210000,67000,"W","approved"
414000,152000,"B","approved"
280000,124000,"A","approved"
124000,24000,"B","approved"
438000,331000,"W","approved"
148000,45000,"O","approved"
185000,36000,"W","denied"
297000,271000,"W","approved"
250000,84000,"W","approved"
172000,43000,"W","approved"
175000,214000,"W","approved"
170000,39000,"W","approved"
370000,160000,"W","approved"
384000,344000,"W","approved"
104000,47000,"W","approved"
210000,44000,"O","approved"
555000,236000,"W","approved"
1e+05,39000,"W","approved"
311000,169000,"W","approved"
279000,193000,"W","approved"
238000,63000,"W","approved"
225000,62000,"W","denied"
119000,74000,"B","denied"
394000,77000,"W","approved"
173000,104000,"W","approved"
303000,286000,"W","approved"
205000,89000,"W","approved"
2e+05,114000,"W","approved"
237000,86000,"W","approved"
171000,71000,"W","approved"
233000,88000,"W","approved"
180000,119000,"W","approved"
331000,103000,"W","approved"
256000,74000,"W","approved"
350000,78000,"B","approved"
194000,110000,"W","approved"
160000,58000,"W","denied"
114000,53000,"A","approved"
244000,96000,"W","approved"
221000,62000,"W","approved"
220000,67000,"W","denied"
135000,47000,"B","approved"
125000,34000,"W","approved"
323000,93000,"O","denied"
156000,74000,"W","approved"
135000,81000,"A","denied"
164000,82000,"W","approved"
189000,83000,"A","approved"
75000,27000,"W","approved"
157000,74000,"W","approved"
137000,46000,"W","approved"
285000,168000,"W","approved"
285000,128000,"W","approved"
181000,36000,"W","approved"
399000,240000,"A","approved"
143000,26000,"W","approved"
2e+05,83000,"A","approved"
2e+05,30000,"W","approved"
175000,90000,"W","approved"
116000,51000,"W","approved"
40000,24000,"W","approved"
250000,14000,"A","denied"
185000,49000,"W","approved"
80000,12000,"B","approved"
2e+05,72000,"W","approved"
225000,131000,"W","approved"
176000,36000,"W","approved"
269000,105000,"W","approved"
175000,53000,"W","approved"
93000,41000,"W","approved"
238000,93000,"W","approved"
125000,80000,"A","approved"
257000,38000,"W","approved"
285000,75000,"A","approved"
342000,84000,"W","approved"
181000,72000,"B","denied"
143000,144000,"W","approved"
190000,472000,"W","approved"
105000,23000,"W","approved"
190000,72000,"W","approved"
428000,89000,"W","approved"
143000,50000,"B","approved"
285000,22000,"W","approved"
285000,6000,"W","approved"
71000,29000,"B","approved"
238000,64000,"W","approved"
238000,59000,"A","approved"
155000,33000,"W","approved"
238000,74000,"A","approved"
95000,85000,"W","approved"
190000,34000,"W","approved"
380000,107000,"W","denied"
285000,78000,"W","approved"
78000,73000,"W","approved"
285000,1e+05,"W","approved"
171000,36000,"W","approved"
286000,260000,"W","approved"
190000,55000,"W","approved"
312000,97000,"A","approved"
275000,38000,"W","denied"
190000,34000,"W","approved"
185000,36000,"W","approved"
275000,37000,"B","approved"
160000,29000,"W","approved"
160000,83000,"W","approved"
2e+05,50000,"W","approved"
160000,24000,"W","approved"
160000,24000,"W","approved"
160000,38000,"W","approved"
125000,55000,"O","approved"
80000,44000,"W","approved"
2e+05,52000,"W","approved"
185000,47000,"W","approved"
220000,65000,"W","approved"
164000,35000,"O","approved"
83000,18000,"B","denied"
150000,38000,"W","approved"
95000,32000,"W","approved"
214000,34000,"W","approved"
270000,78000,"W","approved"
95000,78000,"W","approved"
213000,60000,"W","denied"
338000,120000,"B","approved"
190000,60000,"W","approved"
2e+05,42000,"W","approved"
143000,50000,"W","approved"
160000,174000,"W","approved"
404000,128000,"W","approved"
320000,135000,"W","denied"
157000,45000,"W","approved"
168000,55000,"W","denied"
372000,230000,"W","approved"
286000,106000,"W","approved"
280000,57000,"W","denied"
229000,59000,"W","approved"
453000,157000,"W","approved"
165000,92000,"W","approved"
351000,180000,"B","approved"
568000,231000,"W","approved"
174000,57000,"W","approved"
626000,213000,"A","approved"
95000,47000,"A","denied"
52000,42000,"A","approved"
268000,123000,"W","approved"
90000,186000,"W","approved"
272000,250000,"W","approved"
183000,47000,"B","approved"
120000,44000,"W","approved"
227000,65000,"B","approved"
82000,29000,"W","approved"
228000,43000,"W","approved"
304000,193000,"W","approved"
94000,36000,"W","approved"
135000,57000,"W","approved"
248000,80000,"B","approved"
210000,64000,"W","denied"
361000,192000,"W","approved"
560000,89000,"W","approved"
2e+05,50000,"W","denied"
92000,20000,"A","denied"
69000,30000,"W","approved"
112000,31000,"O","approved"
128000,62000,"W","approved"
160000,49000,"W","approved"
174000,103000,"B","approved"
285000,123000,"B","approved"
1e+05,58000,"W","approved"
180000,1e+05,"W","approved"
266000,95000,"W","approved"
152000,41000,"W","approved"
214000,115000,"W","approved"
150000,52000,"W","approved"
240000,197000,"W","approved"
220000,109000,"W","approved"
87000,25000,"W","approved"
80000,40000,"O","denied"
216000,148000,"W","denied"
80000,19000,"W","approved"
135000,60000,"W","approved"
64000,36000,"W","approved"
205000,79000,"W","denied"
252000,90000,"W","approved"
245000,138000,"W","approved"
335000,148000,"W","approved"
82000,29000,"B","approved"
508000,288000,"B","approved"
172000,39000,"W","denied"
236000,95000,"W","approved"
260000,81000,"W","approved"
175000,135000,"W","approved"
256000,129000,"W","approved"
220000,90000,"W","approved"
311000,199000,"B","approved"
120000,88000,"W","approved"
325000,195000,"A","approved"
118000,46000,"W","approved"
296000,115000,"W","denied"
175000,81000,"W","approved"
181000,136000,"W","approved"
224000,51000,"W","approved"
359000,146000,"A","approved"
260000,135000,"W","approved"
204000,69000,"W","approved"
267000,85000,"W","approved"
236000,61000,"W","denied"
268000,110000,"B","approved"
476000,555000,"W","approved"
111000,47000,"A","approved"
223000,57000,"B","approved"
88000,40000,"W","approved"
209000,54000,"B","approved"
230000,163000,"W","approved"
160000,64000,"W","approved"
233000,65000,"W","approved"
218000,75000,"A","approved"
152000,73000,"W","approved"
450000,253000,"W","approved"
376000,103000,"W","approved"
560000,288000,"W","approved"
450000,155000,"W","approved"
113000,325000,"B","approved"
137000,28000,"W","approved"
210000,105000,"W","approved"
180000,85000,"W","denied"
268000,268000,"B","approved"
250000,75000,"B","approved"
417000,114000,"W","denied"
446000,187000,"W","approved"
250000,75000,"B","approved"
295000,84000,"W","approved"
320000,99000,"W","approved"
140000,44000,"W","approved"
251000,132000,"W","approved"
417000,177000,"W","approved"
2e+05,151000,"W","approved"
363000,111000,"W","denied"
296000,89000,"W","approved"
118000,35000,"B","approved"
238000,63000,"O","approved"
198000,323000,"W","approved"
396000,150000,"W","approved"
132000,129000,"W","approved"
293000,119000,"W","approved"
264000,98000,"B","approved"
237000,108000,"B","approved"
144000,67000,"W","denied"
383000,130000,"W","approved"
206000,34000,"B","approved"
304000,160000,"W","approved"
285000,126000,"W","approved"
157000,53000,"W","approved"
585000,225000,"W","approved"
150000,65000,"B","approved"
352000,149000,"W","approved"
117000,47000,"W","approved"
190000,80000,"B","denied"
1e+05,94000,"W","approved"
3e+05,216000,"W","approved"
275000,78000,"W","approved"
216000,99000,"W","approved"
143000,62000,"W","denied"
275000,96000,"W","approved"
316000,70000,"W","approved"
380000,181000,"W","approved"
276000,105000,"W","approved"
216000,134000,"W","approved"
214000,93000,"A","approved"
2e+05,104000,"W","approved"
128000,38000,"W","approved"
64000,17000,"W","approved"
305000,92000,"W","approved"
227000,60000,"W","approved"
304000,125000,"W","approved"
228000,30000,"W","approved"
450000,90000,"W","approved"
106000,35000,"W","approved"
216000,74000,"W","approved"
170000,86000,"A","denied"
148000,57000,"A","approved"
160000,59000,"W","approved"
540000,212000,"W","approved"
152000,61000,"W","approved"
151000,32000,"A","approved"
328000,183000,"W","approved"
263000,55000,"W","approved"
164000,60000,"O","approved"
273000,136000,"W","approved"
360000,175000,"W","approved"
314000,77000,"B","approved"
93000,80000,"W","approved"
133000,35000,"W","approved"
196000,34000,"W","approved"
158000,33000,"W","approved"
125000,44000,"W","approved"
314000,102000,"W","approved"
338000,114000,"W","approved"
143000,66000,"W","approved"
417000,83000,"B","approved"
131000,77000,"W","approved"
243000,116000,"W","approved"
342000,95000,"O","denied"
118000,91000,"W","approved"
174000,71000,"B","approved"
149000,55000,"W","approved"
159000,48000,"W","approved"
170000,93000,"B","approved"
227000,68000,"B","approved"
150000,42000,"W","approved"
279000,49000,"W","approved"
2e+05,56000,"A","approved"
394000,208000,"W","denied"
207000,92000,"W","approved"
230000,76000,"W","approved"
203000,119000,"W","approved"
286000,91000,"W","approved"
257000,134000,"W","approved"
191000,88000,"W","approved"
248000,82000,"O","approved"
417000,115000,"B","denied"
170000,81000,"W","approved"
185000,71000,"B","approved"
207000,66000,"W","approved"
328000,114000,"W","approved"
3e+05,137000,"W","approved"
170000,82000,"W","denied"
299000,46000,"W","denied"
207000,140000,"W","approved"
194000,65000,"W","approved"
260000,90000,"W","approved"
288000,119000,"W","approved"
645000,204000,"W","approved"
181000,77000,"B","approved"
342000,193000,"W","approved"
194000,68000,"W","approved"
417000,91000,"W","approved"
112000,53000,"W","approved"
149000,35000,"W","approved"
128000,65000,"W","approved"
365000,154000,"W","approved"
303000,130000,"W","approved"
248000,51000,"W","approved"
150000,64000,"B","approved"
3e+05,145000,"W","approved"
414000,437000,"W","approved"
260000,55000,"B","denied"
107000,48000,"W","approved"
180000,69000,"W","approved"
3e+05,196000,"A","denied"
401000,109000,"B","denied"
161000,42000,"W","approved"
295000,92000,"W","approved"
172000,33000,"B","denied"
180000,89000,"B","approved"
272000,77000,"W","approved"
417000,145000,"W","approved"
201000,121000,"W","approved"
305000,86000,"W","approved"
295000,97000,"W","approved"
171000,45000,"W","denied"
417000,174000,"W","approved"
148000,57000,"W","approved"
170000,86000,"W","approved"
162000,34000,"W","approved"
75000,77000,"W","approved"
188000,114000,"W","approved"
2e+05,69000,"W","approved"
156000,41000,"W","approved"
168000,1e+05,"W","denied"
193000,41000,"A","approved"
163000,36000,"W","denied"
243000,159000,"W","approved"
35000,96000,"W","approved"
145000,82000,"W","approved"
1e+05,143000,"W","approved"
108000,27000,"B","denied"
370000,164000,"W","approved"
268000,89000,"W","approved"
246000,134000,"W","approved"
325000,90000,"A","approved"
332000,107000,"B","approved"
210000,53000,"W","approved"
319000,58000,"W","approved"
205000,1e+05,"W","approved"
111000,31000,"W","approved"
264000,283000,"W","denied"
162000,63000,"W","approved"
228000,50000,"W","approved"
365000,154000,"B","approved"
157000,102000,"W","approved"
450000,258000,"W","approved"
120000,86000,"W","approved"
170000,59000,"W","approved"
416000,192000,"W","approved"
182000,65000,"W","approved"
250000,92000,"W","approved"
303000,130000,"A","approved"
216000,72000,"O","approved"
201000,65000,"W","approved"
50000,51000,"B","approved"
169000,56000,"W","approved"
355000,340000,"O","approved"
370000,186000,"W","approved"
1e+05,49000,"O","approved"
247000,115000,"W","approved"
244000,56000,"W","approved"
212000,46000,"B","approved"
248000,82000,"W","approved"
318000,121000,"W","approved"
218000,101000,"W","approved"
115000,86000,"W","approved"
288000,82000,"B","approved"
396000,114000,"B","approved"
370000,138000,"B","denied"
252000,363000,"W","denied"
116000,33000,"W","approved"
180000,33000,"W","approved"
344000,59000,"W","approved"
182000,68000,"B","approved"
181000,77000,"W","approved"
194000,54000,"W","approved"
56000,97000,"W","approved"
206000,67000,"W","denied"
192000,42000,"B","approved"
292000,98000,"O","denied"
190000,66000,"W","approved"
142000,69000,"W","approved"
143000,35000,"W","approved"
194000,68000,"W","approved"
171000,41000,"W","approved"
263000,103000,"B","approved"
263000,222000,"W","approved"
332000,133000,"W","denied"
217000,87000,"B","approved"
223000,96000,"B","approved"
328000,94000,"W","approved"
233000,91000,"W","approved"
112000,53000,"W","approved"
196000,60000,"W","approved"
188000,96000,"W","approved"
128000,65000,"W","approved"
206000,35000,"W","approved"
165000,40000,"W","denied"
162000,30000,"W","approved"
149000,35000,"B","approved"
450000,396000,"B","approved"
325000,298000,"W","approved"
212000,91000,"B","approved"
417000,129000,"W","approved"
168000,74000,"W","approved"
175000,65000,"B","approved"
176000,58000,"W","approved"
170000,76000,"O","approved"
360000,75000,"W","approved"
172000,39000,"W","approved"
216000,60000,"W","denied"
320000,107000,"A","denied"
4e+05,117000,"B","denied"
320000,211000,"W","approved"
215000,73000,"W","approved"
190000,71000,"A","approved"
252000,154000,"W","approved"
182000,96000,"W","approved"
350000,75000,"W","approved"
154000,49000,"W","approved"
185000,51000,"A","approved"
165000,63000,"B","approved"
224000,49000,"W","approved"
140000,40000,"W","denied"
182000,38000,"B","denied"
3e+05,86000,"A","approved"
255000,74000,"W","approved"
360000,133000,"W","approved"
160000,61000,"W","approved"
219000,66000,"B","denied"
417000,233000,"W","approved"
186000,89000,"W","approved"
342000,185000,"W","approved"
288000,94000,"W","denied"
417000,199000,"W","approved"
265000,97000,"W","approved"
162000,38000,"W","denied"
149000,68000,"W","approved"
183000,65000,"B","approved"
140000,164000,"W","approved"
140000,29000,"A","approved"
248000,51000,"A","approved"
450000,150000,"W","approved"
90000,18000,"W","approved"
293000,204000,"W","approved"
375000,184000,"A","approved"
172000,32000,"W","approved"
194000,51000,"W","denied"
250000,104000,"W","approved"
10000,39000,"W","approved"
8000,45000,"W","approved"
184000,65000,"W","approved"
298000,148000,"A","denied"
33000,42000,"W","approved"
450000,163000,"W","approved"
410000,235000,"B","approved"
398000,98000,"W","approved"
113000,40000,"W","approved"
403000,231000,"B","approved"
338000,219000,"W","approved"
251000,96000,"B","approved"
416000,128000,"W","approved"
180000,41000,"B","denied"
314000,129000,"W","approved"
304000,197000,"A","approved"
250000,46000,"W","approved"
79000,36000,"W","approved"
107000,8000,"B","approved"
75000,36000,"W","approved"
122000,118000,"W","approved"
5e+05,252000,"W","approved"
130000,49000,"W","approved"
111000,63000,"B","denied"
214000,45000,"W","approved"
175000,99000,"W","approved"
32000,78000,"W","approved"
80000,42000,"B","denied"
107000,30000,"B","approved"
340000,123000,"W","denied"
230000,60000,"B","approved"
75000,22000,"A","approved"
153000,67000,"W","approved"
115000,36000,"W","approved"
98000,34000,"W","approved"
150000,61000,"W","approved"
205000,1e+05,"B","approved"
417000,93000,"W","denied"
127000,43000,"B","denied"
96000,28000,"B","approved"
95000,64000,"W","approved"
70000,101000,"W","approved"
121000,29000,"W","approved"
110000,43000,"W","approved"
96000,22000,"W","approved"
179000,70000,"W","approved"
126000,130000,"W","approved"
320000,165000,"W","approved"
61000,26000,"A","approved"
142000,116000,"W","approved"
268000,85000,"B","approved"
109000,51000,"W","approved"
261000,108000,"W","approved"
232000,122000,"W","approved"
92000,19000,"W","approved"
180000,38000,"W","approved"
62000,20000,"W","approved"
98000,35000,"W","approved"
66000,45000,"W","approved"
154000,57000,"W","approved"
622000,408000,"W","approved"
39000,47000,"W","approved"
176000,90000,"B","approved"
1e+05,68000,"W","approved"
206000,36000,"B","denied"
59000,27000,"W","approved"
119000,49000,"W","approved"
81000,17000,"W","approved"
58000,19000,"W","approved"
167000,137000,"W","approved"
132000,68000,"B","denied"
101000,37000,"W","approved"
106000,65000,"A","approved"
76000,39000,"W","approved"
93000,40000,"W","approved"
131000,116000,"W","approved"
108000,58000,"W","approved"
159000,64000,"B","approved"
168000,356000,"W","approved"
292000,86000,"W","approved"
95000,55000,"W","approved"
60000,34000,"W","approved"
102000,21000,"W","approved"
116000,52000,"W","approved"
260000,324000,"A","approved"
77000,37000,"W","approved"
173000,129000,"W","approved"
326000,117000,"W","approved"
41000,13000,"W","approved"
86000,59000,"W","approved"
90000,22000,"W","approved"
145000,44000,"W","approved"
1e+05,66000,"A","denied"
311000,340000,"W","approved"
39000,340000,"W","approved"
235000,108000,"O","approved"
95000,42000,"W","approved"
85000,28000,"W","denied"
70000,24000,"W","denied"
164000,60000,"W","denied"
198000,79000,"W","approved"
4e+05,150000,"W","approved"
116000,59000,"W","approved"
85000,37000,"W","approved"
262000,225000,"W","approved"
127000,58000,"B","denied"
116000,69000,"W","approved"
97000,55000,"W","approved"
170000,87000,"B","approved"
165000,70000,"W","approved"
360000,3e+05,"W","approved"
132000,48000,"O","approved"
103000,66000,"A","approved"
192000,53000,"W","approved"
119000,40000,"W","approved"
90000,38000,"B","approved"
118000,62000,"W","approved"
1e+05,22000,"W","approved"
89000,43000,"B","denied"
58000,24000,"W","approved"
45000,36000,"W","approved"
42000,31000,"W","approved"
355000,157000,"W","approved"
124000,58000,"W","approved"
85000,29000,"W","approved"
104000,39000,"W","approved"
160000,65000,"W","approved"
126000,161000,"W","approved"
20000,9000,"B","approved"
150000,37000,"W","approved"
293000,162000,"W","approved"
148000,313000,"W","approved"
86000,39000,"W","approved"
74000,50000,"W","approved"
128000,29000,"W","denied"
128000,68000,"W","denied"
220000,150000,"B","approved"
150000,45000,"W","approved"
62000,67000,"W","approved"
75000,47000,"W","approved"
77000,20000,"W","approved"
73000,21000,"W","approved"
1e+05,47000,"W","approved"
1e+05,62000,"W","approved"
112000,39000,"W","approved"
108000,46000,"W","approved"
319000,150000,"W","approved"
62000,60000,"W","approved"
45000,80000,"W","approved"
60000,18000,"W","approved"
86000,33000,"W","approved"
232000,66000,"W","approved"
105000,27000,"W","approved"
356000,89000,"W","approved"
150000,33000,"W","approved"
130000,41000,"W","approved"
90000,30000,"W","approved"
63000,19000,"A","approved"
121000,74000,"W","approved"
58000,39000,"W","approved"
185000,95000,"B","denied"
113000,77000,"W","approved"
176000,64000,"W","approved"
96000,24000,"W","approved"
126000,26000,"W","denied"
240000,56000,"B","approved"
220000,130000,"W","approved"
112000,54000,"W","approved"
61000,41000,"W","denied"
233000,92000,"W","approved"
45000,23000,"W","approved"
50000,20000,"W","approved"
31000,19000,"W","approved"
31000,59000,"W","approved"
118000,72000,"W","approved"
6000,39000,"W","approved"
196000,92000,"W","approved"
53000,38000,"W","approved"
65000,25000,"W","approved"
108000,57000,"W","approved"
122000,64000,"W","approved"
120000,35000,"W","approved"
133000,41000,"W","approved"
116000,73000,"B","approved"
129000,120000,"W","approved"
141000,112000,"W","approved"
79000,32000,"A","approved"
2e+05,129000,"W","approved"
118000,164000,"B","approved"
61000,37000,"B","approved"
30000,17000,"W","approved"
36000,39000,"W","approved"
186000,95000,"W","approved"
77000,35000,"W","approved"
115000,75000,"W","approved"
1e+05,28000,"W","denied"
4e+05,190000,"W","approved"
62000,125000,"W","approved"
104000,65000,"W","approved"
132000,41000,"W","approved"
27000,27000,"B","approved"
42000,18000,"W","approved"
64000,45000,"B","approved"
199000,83000,"B","denied"
167000,198000,"A","approved"
120000,56000,"W","approved"
1e+05,40000,"W","approved"
119000,81000,"W","denied"
63000,39000,"W","approved"
75000,40000,"W","approved"
81000,50000,"W","denied"
86000,22000,"W","denied"
236000,106000,"W","approved"
57000,15000,"O","approved"
3e+05,72000,"W","approved"
375000,72000,"W","approved"
66000,30000,"W","approved"
122000,58000,"A","approved"
102000,39000,"W","approved"
102000,68000,"B","denied"
583000,222000,"A","approved"
696000,475000,"W","approved"
55000,46000,"W","approved"
130000,31000,"W","approved"
150000,56000,"W","approved"
122000,32000,"W","approved"
280000,137000,"W","approved"
84000,28000,"W","approved"
2e+05,104000,"B","approved"
62000,37000,"W","approved"
116000,66000,"W","approved"
118000,58000,"W","denied"
76000,28000,"W","approved"
46000,43000,"W","approved"
121000,81000,"W","approved"
67000,66000,"B","approved"
1e+05,43000,"W","approved"
1e+05,43000,"B","approved"
113000,37000,"W","approved"
1e+05,127000,"W","approved"
74000,43000,"W","approved"
220000,159000,"W","approved"
96000,135000,"W","approved"
320000,222000,"W","approved"
280000,246000,"A","approved"
140000,49000,"B","approved"
4e+05,121000,"W","denied"
63000,27000,"W","approved"
129000,175000,"W","approved"
156000,217000,"W","approved"
48000,33000,"W","approved"
144000,46000,"W","approved"
209000,107000,"W","denied"
94000,39000,"W","approved"
80000,24000,"B","approved"
181000,37000,"W","denied"
40000,23000,"W","denied"
540000,184000,"B","approved"
385000,119000,"W","approved"
270000,77000,"W","approved"
435000,114000,"W","approved"
372000,79000,"W","approved"
417000,63000,"B","approved"
244000,164000,"W","approved"
202000,47000,"W","approved"
54000,43000,"W","approved"
92000,72000,"W","approved"
41000,46000,"W","approved"
158000,105000,"W","approved"
47000,12000,"B","denied"
160000,72000,"W","approved"
104000,75000,"W","approved"
133000,27000,"W","approved"
312000,182000,"B","approved"
95000,19000,"W","approved"
70000,39000,"W","denied"
192000,118000,"W","approved"
65000,26000,"W","approved"
86000,35000,"W","approved"
268000,112000,"W","denied"
158000,103000,"W","approved"
126000,37000,"W","approved"
184000,550000,"W","denied"
104000,22000,"W","approved"
1e+05,40000,"W","approved"
175000,66000,"W","denied"
24000,24000,"A","approved"
176000,53000,"W","approved"
52000,18000,"W","denied"
120000,269000,"W","approved"
133000,47000,"W","approved"
78000,35000,"W","approved"
15000,25000,"W","approved"
99000,56000,"W","approved"
44000,52000,"B","approved"
180000,63000,"W","approved"
142000,121000,"W","approved"
74000,45000,"W","approved"
152000,102000,"W","denied"
145000,56000,"W","approved"
42000,21000,"W","approved"
179000,65000,"W","denied"
231000,150000,"W","approved"
109000,66000,"W","approved"
80000,925000,"W","approved"
50000,23000,"W","approved"
172000,90000,"B","approved"
236000,101000,"W","approved"
546000,465000,"W","approved"
115000,39000,"W","approved"
92000,83000,"B","approved"
175000,66000,"W","approved"
280000,69000,"W","approved"
116000,60000,"B","denied"
105000,24000,"W","denied"
176000,58000,"B","denied"
96000,73000,"W","approved"
224000,103000,"W","approved"
1e+05,25000,"W","approved"
110000,42000,"W","approved"
78000,38000,"W","approved"
112000,85000,"W","approved"
98000,20000,"W","approved"
115000,39000,"W","approved"
88000,36000,"B","approved"
83000,22000,"W","approved"
64000,13000,"W","approved"
475000,2e+05,"W","denied"
132000,67000,"W","approved"
90000,20000,"O","approved"
102000,30000,"W","approved"
142000,30000,"B","approved"
68000,25000,"W","approved"
109000,103000,"W","approved"
63000,12000,"W","approved"
105000,59000,"W","approved"
98000,28000,"W","approved"
94000,40000,"W","approved"
48000,24000,"W","approved"
106000,43000,"W","approved"
268000,116000,"B","approved"
49000,48000,"B","approved"
90000,32000,"W","approved"
112000,22000,"W","approved"
80000,22000,"W","approved"
127000,32000,"W","approved"
139000,73000,"W","approved"
190000,176000,"W","approved"
87000,19000,"O","approved"
156000,99000,"B","approved"
150000,86000,"W","approved"
2e+05,66000,"W","denied"
124000,47000,"W","denied"
105000,47000,"W","approved"
72000,93000,"O","approved"
83000,51000,"W","approved"
50000,21000,"W","approved"
85000,34000,"W","approved"
72000,24000,"W","denied"
147000,75000,"W","approved"
120000,189000,"W","approved"
94000,88000,"W","denied"
72000,33000,"W","approved"
104000,74000,"W","approved"
119000,82000,"W","denied"
234000,104000,"W","approved"
216000,68000,"W","denied"
174000,87000,"W","approved"
238000,93000,"W","approved"
50000,15000,"W","approved"
153000,136000,"W","approved"
115000,26000,"W","approved"
85000,26000,"A","denied"
111000,81000,"W","approved"
622000,267000,"W","approved"
94000,64000,"W","approved"
157000,55000,"W","approved"
96000,35000,"B","approved"
229000,76000,"W","approved"
140000,49000,"A","approved"
234000,1e+05,"W","denied"
19000,26000,"W","approved"
176000,27000,"W","approved"
240000,85000,"W","approved"
126000,113000,"W","approved"
176000,78000,"B","approved"
140000,126000,"W","approved"
60000,49000,"W","approved"
125000,76000,"W","approved"
62000,45000,"W","approved"
105000,45000,"W","approved"
116000,157000,"W","approved"
207000,61000,"W","approved"
96000,70000,"B","approved"
77000,52000,"W","approved"
120000,75000,"W","approved"
124000,25000,"A","approved"
140000,110000,"W","approved"
76000,63000,"W","approved"
85000,28000,"W","approved"
53000,26000,"B","approved"
252000,76000,"W","denied"
90000,75000,"W","approved"
65000,30000,"W","approved"
82000,17000,"B","denied"
65000,27000,"W","denied"
92000,83000,"W","approved"
